i, j, d
0, 2346, 0.0329380512286
0, 2347, 0.0331097224446
0, 2348, 0.0370941801051
0, 2349, 0.0315953726078
0, 2350, 0.032917765621
0, 2351, 0.0299455493014
0, 2352, 0.0297657401187
0, 2353, 0.033266497503
0, 2354, 0.031614037413
0, 2355, 0.0340024803264
0, 2356, 0.0307120635935
0, 2357, 0.0374923542963
0, 2358, 0.0345685247107
0, 2359, 0.031710225933
0, 2360, 0.0350293696732
0, 2361, 0.0339923918868
0, 2362, 0.0298099761861
0, 2363, 0.0385901057761
0, 2364, 0.0317680310538
0, 2365, 0.0410819217269
0, 2366, 0.0322669527003
0, 2367, 0.0376624087382
0, 2368, 0.0339659369668
0, 2369, 0.0325580185905
0, 2370, 0.0343089679594
0, 2371, 0.0415411478627
0, 2372, 0.0301549976629
0, 2373, 0.0326354509522
0, 2374, 0.0330349084514
0, 2375, 0.0381767597194
0, 2376, 0.0289912762172
0, 2377, 0.0346991966416
0, 2378, 0.0327172024656
0, 2379, 0.0404665134948
0, 2380, 0.0320594186066
0, 2381, 0.0341739243443
0, 2382, 0.0354808755944
0, 2383, 0.0354715952767
0, 2384, 0.0404203581148
0, 2385, 0.0354125153557
0, 2386, 0.0333410991515
0, 2387, 0.033103467725
0, 2388, 0.0353521435155
0, 2389, 0.0327791882716
0, 2390, 0.0305212540282
0, 2391, 0.0338761736907
0, 2392, 0.0332876828822
0, 2393, 0.0367204209392
0, 2394, 0.0338854760674
0, 2395, 0.0336160395997
0, 2396, 0.0335297276327
0, 2397, 0.0398453134151
0, 2398, 0.0341937863491
0, 2399, 0.0344030173063
0, 2400, 0.0347708150645
0, 2401, 0.0356030435699
0, 2402, 0.0348440553165
0, 2403, 0.0344319718434
0, 2404, 0.0342573948003
0, 2405, 0.0286904044181
0, 2406, 0.0339886739691
0, 2407, 0.0338914853254
0, 2408, 0.0353253132394
0, 2409, 0.031670490423
0, 2410, 0.0356093785914
0, 2411, 0.0328058164866
0, 2412, 0.0363645136745
0, 2413, 0.0327478095611
0, 2414, 0.0403210014435
0, 2415, 0.0341105145575
0, 2416, 0.0357133993128
0, 2417, 0.0360577176719
0, 2418, 0.0303427628184
0, 2419, 0.0336011825739
0, 2420, 0.0354929740885
0, 2421, 0.0347168163587
0, 2422, 0.0315171056243
0, 2423, 0.031997795306
0, 2424, 0.0402081750425
0, 2425, 0.0297007388759
0, 2426, 0.0361633295062
0, 2427, 0.0352364566814
0, 2428, 0.032695317998
0, 2429, 0.0329790933216
0, 2430, 0.0304537827091
0, 2431, 0.0376664305304
0, 2432, 0.0320256374389
0, 2433, 0.0397608600832
0, 2434, 0.0268737193988
0, 2435, 0.0360614681768
0, 2436, 0.0361846752215
0, 2437, 0.0304825763538
0, 2438, 0.0361520278879
0, 2439, 0.0316152369387
0, 2440, 0.0292897427168
0, 2441, 0.0379975312683
0, 2442, 0.036390841746
0, 2443, 0.0383990763751
0, 2444, 0.0346356853041
0, 2445, 0.036705627238
0, 2446, 0.03215378654
0, 2447, 0.0337017358279
0, 2448, 0.0332551832385
0, 2449, 0.0331976322502
0, 2450, 0.0323829141892
0, 2451, 0.0330995860059
0, 2452, 0.0356274065343
0, 2453, 0.0377888278614
0, 2454, 0.0367165207788
0, 2455, 0.0343850041229
0, 2456, 0.0356350897967
0, 2457, 0.0376366632984
0, 2458, 0.031477615273
0, 2459, 0.0398422807558
0, 2460, 0.0357632238696
0, 2461, 0.0380363372716
0, 2462, 0.0286066051364
0, 2463, 0.0350463374016
0, 2464, 0.0340091415454
0, 2465, 0.0336168863179
0, 2466, 0.0335457502273
0, 2467, 0.0329355945452
0, 2468, 0.0310371416931
0, 2469, 0.0319106105039
0, 2470, 0.034920371379
0, 2471, 0.0345453705203
0, 2472, 0.0345519884557
0, 2473, 0.0351900440099
0, 2474, 0.0316587022532
0, 2475, 0.035189896268
0, 2476, 0.0320701242585
0, 2477, 0.0365625891595
0, 2478, 0.0314467864134
0, 2479, 0.0342408747414
0, 2480, 0.0340412734581
0, 2481, 0.0355005778012
0, 2482, 0.0367792990643
0, 2483, 0.0357504003547
0, 2484, 0.032695476595
0, 2485, 0.0329814829114
0, 2486, 0.0356623337223
0, 2487, 0.0382268387225
0, 2488, 0.0341746681448
0, 2489, 0.0319807867332
0, 2490, 0.0334999238539
0, 2491, 0.0336871967298
0, 2492, 0.0353422523326
0, 2493, 0.0343705053214
0, 2494, 0.0330624575132
0, 2495, 0.0309542575986
0, 2496, 0.0336690077842
0, 2497, 0.0340191660905
0, 2498, 0.0366502387643
0, 2499, 0.0318757635322
0, 2500, 0.0340384666706
0, 2501, 0.032617663959
0, 2502, 0.03227449426
0, 2503, 0.0318648906598
0, 2504, 0.0346903578408
0, 2505, 0.0327148820438
0, 2506, 0.0355437946877
0, 2507, 0.0312864602093
0, 2508, 0.0316349532324
0, 2509, 0.0328455987104
0, 2510, 0.0340211186383
0, 2511, 0.0342933139327
0, 2512, 0.0343166836634
0, 2513, 0.0337784880995
0, 2514, 0.0339577788224
0, 2515, 0.0336660984421
0, 2516, 0.0385819739852
0, 2517, 0.036997272114
0, 2518, 0.0338210150234
0, 2519, 0.0326128246888
0, 2520, 0.0325819269949
0, 2521, 0.033218860905
0, 2522, 0.033668583675
0, 2523, 0.0358148645931
0, 2524, 0.0350082749301
0, 2525, 0.0327370042774
0, 2526, 0.0316788327449
0, 2527, 0.0342554603731
0, 2528, 0.0381535692523
0, 2529, 0.0317557006834
0, 2530, 0.0368867011037
0, 2531, 0.0255408295374
0, 2532, 0.0370676272295
0, 2533, 0.0339715421134
0, 2534, 0.0336212096457
0, 2535, 0.0322205986358
0, 2536, 0.0320913131563
0, 2537, 0.0311020989741
0, 2538, 0.0325239766465
0, 2539, 0.0375676953997
0, 2540, 0.0345245754631
0, 2541, 0.033288330012
0, 2542, 0.0323019095315
0, 2543, 0.033516111007
0, 2544, 0.0345552641004
0, 2545, 0.0315786355805
0, 2546, 0.0319220542568
0, 2547, 0.032164627078
0, 2548, 0.0314321360179
0, 2549, 0.0366056826573
0, 2550, 0.0340020115408
0, 2551, 0.035407892287
0, 2552, 0.0310943292377
0, 2553, 0.03579140608
0, 2554, 0.0356603433122
0, 2555, 0.0318207523689
0, 2556, 0.0353213391381
0, 2557, 0.0381857023856
0, 2558, 0.0326716252236
0, 2559, 0.0352776831455
0, 2560, 0.0355556805797
0, 2561, 0.0334964960453
0, 2562, 0.0350092707398
0, 2563, 0.0340415777892
0, 2564, 0.0382221512004
0, 2565, 0.036568931317
0, 2566, 0.0336246443073
